rep30_2_LRI1957(pLRI03)	CP006013  rep30_2_LRI1957(pLRI03)_CP006013
rep31_1_LCKp400005(pLCK4)	DQ489739  rep31_1_LCKp400005(pLCK4)_DQ489739
rep31_2_LKI10596(LkipL4719)	CP001755  rep31_2_LKI10596(LkipL4719)_CP001755
rep32_1_pli0023(pLI100)	AL592102  rep32_1_pli0023(pLI100)_AL592102
rep32_2_repB(pVF22)	JN172912  rep32_2_repB(pVF22)_JN172912
rep33_1_rep(pSMA198)	HE613570  rep33_1_rep(pSMA198)_HE613570
rep33_2_rep(pK214)	X92946  rep33_2_rep(pK214)_X92946
rep34_1_repB(pSdyT132)	DQ173493  rep34_1_repB(pSdyT132)_DQ173493
rep34_2_repB(pDN281)	AY995189  rep34_2_repB(pDN281)_AY995189
rep34_3_repB(pW2580)	AY907345  rep34_3_repB(pW2580)_AY907345
rep34_4_repB(pA852)	KC895878  rep34_4_repB(pA852)_KC895878
rep34_5_repB(pLS1)	M29725  rep34_5_repB(pLS1)_M29725
rep34_6_repB(pMV158)	X15669  rep34_6_repB(pMV158)_X15669
rep35_1_repB(pER13)	AY033392  rep35_1_repB(pER13)_AY033392
rep35_2_ORF2(pSMQ172)	AF295100  rep35_2_ORF2(pSMQ172)_AF295100
rep36_1_repA(pPCS8235)	NZCM001836  rep36_1_repA(pPCS8235)_NZCM001836
rep36_2_rep(pDP1)	AF047696  rep36_2_rep(pDP1)_AF047696
rep36_3_rep(pSMB1)	AF047385  rep36_3_rep(pSMB1)_AF047385
rep37_1_repA(pK1002C2)	HM050421  rep37_1_repA(pK1002C2)_HM050421
rep37_2_repA(pt38)	AJ566638  rep37_2_repA(pt38)_AJ566638
rep37_3_rep(pND103)	AY250830  rep37_3_rep(pND103)_AY250830
rep37_4_repA(pER36)	AF177168  rep37_4_repA(pER36)_AF177168
rep37_5_repA(pER35)	AF177167  rep37_5_repA(pER35)_AF177167
rep38_1_rep(pLBUC03)	CP002655  rep38_1_rep(pLBUC03)_CP002655
rep38_2_repA(LBPp1)	CP005943  rep38_2_repA(LBPp1)_CP005943
rep39_1_repA(SAP110A)	GQ900465  rep39_1_repA(SAP110A)_GQ900465
rep39_2_repA(SAP016A)	GQ900381  rep39_2_repA(SAP016A)_GQ900381
rep39_3_repA(SAP045A)	GQ900402  rep39_3_repA(SAP045A)_GQ900402
rep3_1_rep63A(pAW63)	BTH011655  rep3_1_rep63A(pAW63)_BTH011655
rep3_2_rep165(pBMB165)	DQ242517  rep3_2_rep165(pBMB165)_DQ242517
rep3_3_rep(pBT9727)	CP000047  rep3_3_rep(pBT9727)_CP000047
rep3_4_CDS38(pOX2)	NC002146  rep3_4_CDS38(pOX2)_NC002146
rep40_1_repA(SAP106A)	GQ900454  rep40_1_repA(SAP106A)_GQ900454
rep40_2_rep(pPI1)	AB125341  rep40_2_rep(pPI1)_AB125341
rep4a_1_repB(pCRL2911)	NC002799  rep4a_1_repB(pCRL2911)_NC002799
rep4a_2_CDS3(pKC5b)	AF378372  rep4a_2_CDS3(pKC5b)_AF378372
rep4b_1_repB(pMBB1)	EFU26268  rep4b_1_repB(pMBB1)_EFU26268
rep5a_1_repSAP001(pN315)	AP003139  rep5a_1_repSAP001(pN315)_AP003139
rep5a_2_unknown(p21)	AF128883  rep5a_2_unknown(p21)_AF128883
rep5a_3_rep(pWBG752)	GQ900394  rep5a_3_rep(pWBG752)_GQ900394
rep5a_4_rep(SAP047A)	GQ900405  rep5a_4_rep(SAP047A)_GQ900405
rep5a_8_SUM0001(p18809P04)	CP002146  rep5a_8_SUM0001(p18809P04)_CP002146
rep5b_1_rep(pUR2355)	JQ312422  rep5b_1_rep(pUR2355)_JQ312422
rep5b_2_rep(pRJ6)	AF241888  rep5b_2_rep(pRJ6)_AF241888
rep5b_3_SEp608(pSE12228p06)	AE015935  rep5b_3_SEp608(pSE12228p06)_AE015935
rep5b_4_SAP106B007(SAP106B)	GQ900455  rep5b_4_SAP106B007(SAP106B)_GQ900455
rep5b_5_SAP108B006(SAP108B)	GQ900459  rep5b_5_SAP108B006(SAP108B)_GQ900459
rep5c_1_rep(pRJ9)	AF447813  rep5c_1_rep(pRJ9)_AF447813
rep5d_1_rep(pJE1)	AF051916  rep5d_1_rep(pJE1)_AF051916
rep5e_1_rep(pSHaeC)	AP006719  rep5e_1_rep(pSHaeC)_AP006719
rep5e_2_SAP018B003(SAP018B)	GQ900384  rep5e_2_SAP018B003(SAP018B)_GQ900384
rep6_1_repA(pS86)	AJ223161  rep6_1_repA(pS86)_AJ223161
rep7a_10_ORF(pKH1)	SAU38656  rep7a_10_ORF(pKH1)_SAU38656
rep7a_11_rep(SAP060B)	GQ900417  rep7a_11_rep(SAP060B)_GQ900417
rep7a_12_repC(pKH17)	NC010284  rep7a_12_repC(pKH17)_NC010284
rep7a_13_CDS1(plasmidJ3358)	U36910  rep7a_13_CDS1(plasmidJ3358)_U36910
rep7a_14_CDS3(pUSA02)	NC007791  rep7a_14_CDS3(pUSA02)_NC007791
rep7a_15_repC(pS0385p1)	AM990993  rep7a_15_repC(pS0385p1)_AM990993
rep7a_16_repC(Cassette)	AB037671  rep7a_16_repC(Cassette)_AB037671
rep7a_17_CDS4(pS194)	NC005564  rep7a_17_CDS4(pS194)_NC005564
rep7a_18_rep(pS0385p2)	AM990994  rep7a_18_rep(pS0385p2)_AM990994
rep7a_19_rep(pACK4)	EU930825  rep7a_19_rep(pACK4)_EU930825
